@relation gentil-rude
@attribute massa NUMERIC
@attribute altura NUMERIC
@attribute dentes {normais,afiados}
@attribute corolhos {escura, clara, vermelha}
@attribute gentil {S,N}
@data
162.99,2.39,afiados,vermelha,N
70.76,2.30,normais,clara,S
141.40,2.05,normais,escura,S
90.69,2.04,afiados,clara,S
140.33,2.36,afiados,vermelha,N
69.65,2.15,normais,vermelha,S
98.65,2.11,afiados,clara,S
102.07,1.57,afiados,vermelha,N
136.81,1.93,normais,escura,S
141.30,1.89,afiados,clara,N
178.72,1.69,normais,clara,S
177.88,1.96,normais,clara,S
50.62,1.90,afiados,clara,S
175.06,1.73,afiados,clara,N
103.67,2.30,afiados,clara,N
86.40,1.54,afiados,vermelha,N
171.52,2.00,afiados,clara,N
126.10,2.27,normais,escura,S
157.32,1.82,normais,escura,S
92.55,2.32,normais,escura,S
56.97,1.94,normais,vermelha,S
178.71,1.96,afiados,clara,N
57.64,1.62,normais,escura,S
80.79,2.00,normais,clara,S
166.02,1.66,afiados,escura,N
100.51,1.81,afiados,vermelha,S
73.52,2.38,normais,clara,S
56.55,1.97,afiados,clara,S
125.54,2.08,afiados,vermelha,N
161.52,1.61,afiados,vermelha,N
75.10,1.88,normais,vermelha,S
111.48,1.95,afiados,vermelha,N
177.79,2.39,normais,vermelha,N
178.99,1.73,normais,clara,S
167.43,2.11,afiados,escura,N
126.52,1.84,normais,vermelha,N
50.53,2.24,normais,escura,S
78.77,1.99,normais,escura,S
121.95,1.93,normais,vermelha,N
101.02,1.59,normais,escura,S
178.49,1.56,normais,vermelha,N
90.90,1.61,normais,vermelha,N
115.22,1.73,afiados,escura,N
91.74,2.20,normais,clara,S
158.41,2.26,normais,vermelha,N
160.62,2.00,afiados,vermelha,N
65.10,2.28,afiados,escura,S
92.11,2.05,normais,vermelha,S
137.42,2.25,afiados,vermelha,N
175.10,2.18,normais,escura,S
174.69,2.28,afiados,escura,N
115.24,2.13,afiados,vermelha,N
63.17,1.55,normais,escura,S
169.75,2.26,normais,vermelha,N
123.66,1.52,normais,escura,S
160.87,2.34,afiados,clara,N
106.30,2.01,afiados,clara,N
67.06,1.63,normais,escura,S
136.20,2.05,afiados,escura,N
141.87,2.29,normais,vermelha,N
69.14,2.08,normais,vermelha,S
55.99,1.54,afiados,clara,N
73.63,1.69,normais,vermelha,N
178.60,2.14,afiados,escura,N
145.54,1.70,afiados,clara,N
95.69,2.28,afiados,vermelha,S
66.49,1.50,afiados,clara,N
85.04,2.14,afiados,vermelha,S
163.12,1.58,normais,escura,S
152.53,1.91,afiados,escura,N
153.70,1.80,afiados,clara,N
67.19,1.80,afiados,clara,N
80.94,1.95,afiados,vermelha,S
169.74,1.70,afiados,clara,N
92.53,2.01,normais,vermelha,S
108.97,1.65,afiados,escura,N
174.00,1.91,afiados,clara,N
164.27,2.27,normais,escura,S
139.72,2.02,normais,escura,S
59.15,2.27,afiados,vermelha,S
171.28,1.88,afiados,vermelha,N
116.54,1.98,normais,clara,S
91.86,1.84,afiados,escura,S
92.91,2.07,afiados,vermelha,S
159.65,2.31,normais,vermelha,N
89.91,1.90,normais,escura,S
76.21,1.62,normais,clara,S
151.90,1.51,normais,vermelha,N
162.98,1.71,afiados,escura,N
159.26,1.53,normais,escura,S
109.67,2.37,normais,vermelha,N
87.34,1.72,normais,clara,S
105.26,1.84,normais,vermelha,N
93.92,2.08,afiados,vermelha,S
91.77,2.01,afiados,escura,S
157.70,1.66,normais,escura,S
79.02,2.36,normais,vermelha,S
53.12,1.60,normais,escura,S
179.20,2.31,afiados,clara,N
139.46,1.65,afiados,clara,N
110.81,1.85,afiados,escura,N
137.27,1.86,normais,escura,S
90.93,1.91,afiados,clara,S
169.98,2.30,normais,clara,S
127.31,1.73,afiados,vermelha,N
164.10,2.19,afiados,clara,N
143.23,1.67,afiados,clara,N
78.26,2.04,normais,escura,S
55.43,2.19,normais,clara,S
130.48,1.95,afiados,clara,N
68.86,2.34,normais,escura,S
110.88,1.54,afiados,clara,N
85.10,1.66,normais,clara,S
94.27,2.05,normais,vermelha,S
179.11,2.28,afiados,vermelha,N
150.68,1.68,afiados,escura,N
117.82,1.85,normais,escura,S
52.46,2.35,normais,vermelha,S
134.49,1.95,afiados,clara,N
100.31,1.68,afiados,clara,N
93.25,1.52,normais,escura,S
91.21,2.31,afiados,clara,S
100.04,2.34,normais,escura,S
92.03,1.93,normais,clara,S
121.75,2.07,normais,vermelha,N
135.08,1.79,afiados,clara,N
90.12,2.07,afiados,escura,S
64.69,2.07,afiados,escura,S
61.17,1.57,afiados,vermelha,N
57.18,2.08,afiados,vermelha,S
109.64,2.19,afiados,escura,N
150.42,1.54,normais,vermelha,N
127.72,1.88,afiados,escura,N
162.81,1.96,afiados,vermelha,N
155.29,1.92,normais,escura,S
92.35,1.88,normais,clara,N
127.28,1.96,normais,vermelha,N
58.02,1.99,afiados,escura,S
154.87,2.08,afiados,vermelha,N
124.48,1.79,afiados,clara,N
164.15,2.38,normais,vermelha,N
144.90,1.51,normais,vermelha,N
136.46,2.33,normais,vermelha,N
90.59,2.08,normais,clara,S
59.94,1.66,afiados,vermelha,N
156.46,1.57,normais,escura,S
69.97,2.39,afiados,escura,S
120.47,1.52,normais,escura,S
52.62,2.33,normais,escura,S
151.50,1.73,afiados,escura,N
101.26,1.71,afiados,escura,N
138.57,2.14,afiados,escura,N
76.15,1.57,normais,clara,S
172.67,1.83,normais,clara,S
126.39,2.07,normais,clara,S
139.67,1.93,normais,vermelha,N
86.37,2.04,normais,clara,S
107.70,2.13,normais,escura,S
115.45,2.16,afiados,escura,N
123.32,2.30,normais,vermelha,N
107.89,1.93,afiados,clara,N
60.09,2.28,afiados,clara,S
87.66,1.89,afiados,escura,S
121.40,1.69,normais,clara,S
116.23,2.27,afiados,escura,N
123.82,1.67,normais,vermelha,N
116.88,1.63,afiados,clara,N
87.17,2.26,normais,escura,S
83.72,1.63,afiados,vermelha,N
55.99,1.78,normais,vermelha,N
78.26,2.17,afiados,clara,S
164.00,2.23,normais,vermelha,N
101.19,2.01,normais,escura,S
139.30,2.10,normais,escura,S
79.64,2.01,afiados,vermelha,S
59.16,2.30,normais,vermelha,S
170.41,1.75,normais,vermelha,N
128.63,2.14,afiados,clara,N
88.74,2.02,afiados,escura,S
143.80,2.24,normais,clara,S
169.83,2.35,normais,escura,S
147.09,1.57,normais,vermelha,N
65.62,1.95,afiados,vermelha,S
127.59,1.96,normais,clara,S
159.43,1.59,afiados,vermelha,N
51.30,1.87,normais,escura,S
57.35,2.29,afiados,clara,S
152.79,2.20,normais,escura,S
121.20,1.96,afiados,escura,N
140.48,1.82,normais,vermelha,N
128.70,2.30,afiados,clara,N
150.85,1.98,normais,escura,S
120.85,2.02,normais,clara,S
60.16,1.87,afiados,clara,S
66.52,1.54,afiados,vermelha,N
115.44,2.27,normais,clara,S
103.25,2.04,normais,escura,S
156.33,1.79,normais,clara,S
152.95,2.15,afiados,escura,N
156.95,1.53,normais,escura,S
92.40,2.34,afiados,escura,S
160.03,2.38,afiados,clara,N
152.73,1.55,afiados,vermelha,N
76.85,2.21,afiados,clara,S
60.64,2.30,normais,vermelha,S
169.21,1.94,afiados,vermelha,N
114.56,2.30,afiados,escura,N
87.23,1.94,normais,escura,S
82.46,1.64,afiados,vermelha,N
79.61,2.00,normais,clara,S
96.10,2.07,normais,escura,N
93.59,1.82,normais,escura,S
101.34,2.11,normais,clara,S
145.46,2.01,normais,vermelha,N
80.91,2.23,normais,clara,S
53.34,2.36,afiados,escura,S
162.30,2.04,normais,vermelha,N
160.81,1.72,normais,vermelha,N
120.25,1.91,normais,vermelha,S
84.49,2.27,afiados,clara,N
63.18,1.61,normais,vermelha,N
88.85,1.64,afiados,vermelha,N
143.55,1.89,normais,escura,S
141.04,2.07,afiados,vermelha,N
61.11,2.16,afiados,escura,S
131.64,2.27,normais,clara,S
138.28,2.02,afiados,vermelha,N
77.43,2.15,afiados,clara,S
100.47,1.62,afiados,clara,N
61.15,1.70,normais,vermelha,N
87.91,1.83,normais,vermelha,S
128.99,2.30,normais,vermelha,N
165.30,2.26,afiados,vermelha,N
82.61,2.30,normais,clara,S
136.37,2.22,afiados,vermelha,N
74.71,1.54,afiados,vermelha,N
117.45,2.27,normais,vermelha,N
87.09,1.63,afiados,escura,N
149.35,1.97,normais,clara,S
95.28,2.05,afiados,vermelha,S
113.67,2.26,afiados,clara,N
77.35,2.22,afiados,vermelha,S
69.64,1.80,normais,escura,S
104.85,2.29,afiados,clara,N
172.08,2.27,afiados,escura,N
148.99,2.14,afiados,escura,N
74.10,2.37,normais,clara,S
118.36,1.70,normais,clara,S
129.30,1.76,afiados,escura,N
159.47,2.11,normais,escura,S
150.95,2.13,afiados,clara,N
65.53,1.74,afiados,clara,N
178.62,1.86,afiados,vermelha,N
162.41,2.00,afiados,vermelha,N
133.80,2.08,afiados,vermelha,N
111.33,1.51,normais,vermelha,N
159.95,2.33,afiados,vermelha,N
65.57,2.13,afiados,clara,S
125.16,1.87,normais,escura,S
168.21,2.16,afiados,vermelha,N
73.54,1.83,normais,vermelha,S
81.01,2.07,afiados,escura,S
158.81,1.91,afiados,clara,N
94.62,1.72,normais,vermelha,N
168.02,1.91,afiados,vermelha,N
95.00,1.65,afiados,clara,N
59.60,1.68,afiados,escura,N
103.96,1.74,afiados,escura,N
84.92,2.08,afiados,vermelha,S
84.03,1.53,normais,clara,S
53.83,2.35,afiados,escura,S
78.66,1.51,afiados,vermelha,N
67.82,2.37,afiados,escura,S
158.87,2.05,afiados,clara,N
105.05,1.54,afiados,vermelha,N
156.08,2.25,afiados,escura,N
172.37,1.90,afiados,clara,N
63.01,2.21,afiados,escura,S
90.91,1.55,normais,clara,S
131.72,1.94,afiados,escura,N
75.73,1.51,normais,escura,S
134.05,1.79,afiados,vermelha,N
140.43,1.80,normais,vermelha,N
90.25,1.76,afiados,clara,N
94.16,2.25,normais,clara,S
50.32,2.16,afiados,escura,S
110.55,2.10,normais,vermelha,S
157.21,2.04,afiados,escura,N
121.04,2.37,afiados,clara,N
84.80,1.55,normais,escura,S
70.84,2.39,afiados,clara,S
127.57,1.83,afiados,escura,N
124.03,2.12,afiados,clara,N
53.54,1.63,normais,clara,S
108.86,1.71,afiados,vermelha,N
58.09,1.84,afiados,escura,S
71.67,2.09,afiados,clara,S
154.65,1.69,normais,clara,S
167.27,2.28,normais,clara,N
169.99,1.66,normais,vermelha,N
119.73,2.04,normais,clara,S
53.11,2.37,afiados,escura,S
166.73,2.00,normais,clara,S
63.34,1.66,afiados,clara,N
54.25,1.95,afiados,clara,S
82.75,1.78,afiados,escura,N
168.27,2.07,afiados,clara,N
171.83,1.86,afiados,clara,N
76.43,1.72,normais,vermelha,N
57.49,1.62,afiados,clara,N
84.21,1.75,afiados,escura,N
91.68,2.26,normais,vermelha,S
141.39,2.01,normais,escura,S
139.10,2.14,normais,vermelha,N
119.30,1.80,normais,vermelha,N
132.04,1.72,normais,escura,S
84.19,1.97,normais,clara,S
72.99,2.35,normais,vermelha,S
104.74,2.16,afiados,clara,N
90.49,2.22,afiados,clara,S
60.42,1.60,normais,escura,S
148.04,2.17,afiados,clara,N
159.16,2.10,afiados,clara,N
86.88,2.31,afiados,clara,S
111.64,1.51,normais,vermelha,N
158.53,1.80,normais,escura,S
98.69,2.02,afiados,clara,S
155.47,2.40,afiados,clara,N
164.11,1.51,afiados,clara,N
73.96,2.20,afiados,escura,S
69.84,2.08,normais,clara,S
172.62,2.39,afiados,vermelha,N
87.60,1.95,afiados,clara,S
173.84,2.19,afiados,vermelha,N
178.86,2.14,afiados,clara,N
105.98,1.52,normais,escura,S
53.14,1.81,normais,escura,S
166.96,2.12,normais,clara,S
146.57,1.84,normais,clara,S
112.67,2.08,afiados,escura,N
165.12,1.70,afiados,escura,N
161.87,1.59,normais,vermelha,N
91.37,1.87,afiados,clara,S
152.42,2.03,normais,vermelha,N
128.71,2.25,normais,vermelha,N
93.79,1.84,afiados,vermelha,S
134.30,1.93,normais,escura,S
139.51,2.14,afiados,clara,N
85.27,1.85,normais,vermelha,S
154.68,1.73,afiados,vermelha,N
120.28,1.76,afiados,vermelha,N
164.59,1.70,normais,vermelha,N
79.33,1.96,afiados,vermelha,S
164.02,2.10,afiados,vermelha,N
67.87,1.57,afiados,escura,N
150.49,1.93,afiados,escura,N
105.40,1.61,normais,vermelha,N
114.90,1.71,afiados,clara,N
169.25,1.80,afiados,clara,N
175.50,1.60,afiados,escura,N
112.95,1.55,normais,escura,S
167.63,1.79,afiados,escura,N
101.34,2.08,afiados,clara,N
149.13,2.38,normais,clara,S
109.05,1.95,normais,escura,S
57.57,2.29,afiados,clara,S
126.43,2.24,afiados,clara,N
67.55,1.54,normais,vermelha,N
130.29,1.73,afiados,vermelha,N
121.47,1.57,normais,vermelha,N
111.95,1.91,afiados,vermelha,N
115.81,2.26,normais,vermelha,N
80.16,2.12,afiados,vermelha,S
157.84,1.83,afiados,clara,N
136.03,1.71,afiados,escura,N
149.56,1.82,afiados,escura,N
64.47,2.04,normais,clara,S
139.21,1.65,afiados,escura,N
89.52,1.69,afiados,escura,N
140.04,1.58,afiados,vermelha,N
118.06,2.09,normais,escura,S
140.73,2.19,afiados,vermelha,N
150.61,1.55,normais,vermelha,N
137.39,2.02,normais,escura,S
141.76,1.96,normais,escura,S
109.15,2.08,afiados,vermelha,N
76.30,2.30,normais,vermelha,N
170.16,1.81,afiados,vermelha,N
141.00,1.90,normais,escura,S
133.46,1.63,afiados,escura,N
81.69,1.88,afiados,escura,S
89.29,2.11,normais,clara,S
136.64,1.74,afiados,escura,N
159.38,1.80,afiados,clara,N
138.80,2.06,afiados,clara,N
159.63,1.87,normais,clara,S
173.06,1.79,normais,vermelha,N
139.61,2.36,normais,clara,S
145.41,2.15,normais,vermelha,N
88.39,2.23,afiados,clara,S
134.40,1.82,normais,vermelha,N
76.30,1.70,afiados,clara,N
90.76,1.84,normais,escura,S
74.34,1.88,afiados,escura,S
146.31,1.74,afiados,clara,N
118.30,2.35,normais,escura,S
164.76,1.50,afiados,vermelha,N
170.54,1.87,afiados,escura,N
174.90,2.39,normais,clara,S
88.62,2.07,normais,clara,S
178.65,1.93,afiados,escura,N
65.83,1.56,afiados,clara,N
126.43,2.38,afiados,clara,N
135.25,2.05,normais,vermelha,N
158.24,1.85,afiados,vermelha,N
104.38,2.26,afiados,clara,N
90.45,1.62,normais,vermelha,N
77.88,1.93,afiados,escura,S
149.67,1.72,normais,vermelha,N
63.18,1.92,normais,escura,S
151.46,1.81,normais,escura,S
75.57,1.65,normais,clara,S
165.40,1.71,normais,vermelha,N
169.46,2.26,afiados,escura,N
159.22,2.39,normais,escura,S
151.22,2.34,afiados,vermelha,S
60.35,1.92,afiados,clara,S
157.77,1.99,afiados,escura,N
167.80,2.23,normais,vermelha,N
144.95,2.08,afiados,vermelha,N
173.34,1.90,normais,vermelha,N
67.53,1.63,normais,escura,S
126.10,2.07,normais,vermelha,N
120.41,2.33,afiados,vermelha,N
149.86,2.15,afiados,vermelha,N
55.01,1.51,afiados,escura,N
58.32,2.28,normais,escura,S
132.80,2.33,normais,vermelha,N
130.17,2.22,afiados,escura,N
174.00,2.29,afiados,vermelha,N
113.01,1.56,normais,vermelha,N
77.53,1.72,normais,vermelha,N
153.15,2.05,afiados,clara,N
178.30,2.09,normais,clara,S
78.64,1.62,normais,escura,S
65.83,1.86,afiados,escura,S
81.70,1.60,afiados,clara,N
132.59,2.39,normais,escura,S
113.85,2.28,afiados,escura,N
160.18,2.29,afiados,vermelha,N
138.01,2.02,afiados,clara,N
109.57,1.61,normais,vermelha,N
63.05,1.79,normais,escura,S
98.02,1.85,afiados,vermelha,S
176.33,1.57,afiados,clara,N
52.18,1.82,afiados,escura,S
121.76,1.68,afiados,vermelha,N
117.88,1.56,afiados,clara,N
146.55,1.64,normais,escura,S
51.29,2.24,afiados,escura,N
157.73,2.29,normais,clara,S
51.89,1.80,afiados,clara,N
124.19,1.86,afiados,vermelha,N
165.82,2.03,normais,vermelha,N
136.25,2.21,afiados,clara,N
133.17,2.26,afiados,clara,N
81.57,1.71,normais,vermelha,N
79.49,2.23,normais,vermelha,S
67.79,1.75,afiados,clara,N
102.57,2.30,normais,vermelha,N
147.26,2.28,normais,clara,S
146.91,1.89,afiados,vermelha,N
137.43,1.56,afiados,clara,N
178.33,1.73,afiados,vermelha,N
133.52,1.98,normais,escura,S
125.91,2.25,normais,vermelha,N
179.48,1.67,afiados,escura,N
67.04,2.38,normais,escura,S
110.19,1.80,normais,vermelha,N
146.07,2.34,normais,vermelha,N
168.25,2.06,normais,escura,S
121.87,1.55,normais,vermelha,N
178.09,2.29,afiados,clara,N
145.47,2.23,normais,clara,S
131.62,2.34,afiados,escura,N
92.63,1.95,normais,clara,S
53.15,1.56,afiados,clara,N
68.14,1.80,afiados,escura,N
135.34,2.36,normais,clara,S
160.47,2.21,afiados,escura,N
107.50,1.70,normais,escura,S
73.77,1.94,afiados,vermelha,S
109.53,1.99,afiados,vermelha,N
143.28,1.71,afiados,escura,N
54.96,1.86,afiados,vermelha,S
141.86,1.60,afiados,clara,N
93.87,1.92,afiados,vermelha,S
79.02,1.78,normais,escura,S
75.45,2.38,afiados,clara,S
127.59,2.40,normais,escura,S
117.63,2.21,normais,escura,S
60.25,1.64,afiados,clara,N
68.48,1.66,normais,escura,N
139.48,2.12,afiados,escura,N
62.68,2.16,normais,vermelha,S
50.90,2.04,afiados,vermelha,S
66.32,1.54,normais,vermelha,N
75.03,1.60,normais,clara,S
121.34,2.37,afiados,escura,N
174.38,2.22,normais,vermelha,N
81.05,1.65,normais,vermelha,N
136.15,1.99,afiados,vermelha,N
168.39,1.60,normais,escura,S
143.53,1.55,afiados,clara,N
103.68,1.78,afiados,escura,N
105.45,2.07,afiados,escura,N
115.51,2.19,normais,vermelha,N
173.92,1.56,normais,escura,S
83.29,1.70,afiados,clara,N
89.28,1.58,normais,clara,S
78.08,2.03,afiados,escura,S
133.54,2.16,normais,clara,S
92.07,2.19,normais,clara,S
149.09,1.70,afiados,clara,S
87.81,1.99,afiados,escura,S
114.31,1.81,normais,clara,S
85.43,2.25,normais,clara,S
124.79,2.22,afiados,vermelha,N
116.63,1.56,afiados,clara,N
169.52,2.09,normais,clara,S
80.06,1.96,normais,vermelha,S
70.24,1.82,afiados,escura,S
95.66,2.10,normais,vermelha,S
154.87,2.18,normais,escura,S
171.89,1.58,normais,escura,S
91.68,1.88,normais,vermelha,S
173.86,2.30,normais,vermelha,N
87.79,2.27,afiados,clara,S
95.41,1.72,normais,clara,S
153.90,2.33,afiados,escura,N
111.43,1.92,afiados,vermelha,N
70.06,2.35,afiados,clara,S
64.46,1.66,afiados,escura,S
139.21,2.24,afiados,clara,N
144.53,2.37,afiados,escura,N
86.44,2.15,normais,escura,S
74.24,2.24,afiados,escura,S
139.13,1.57,normais,vermelha,N
143.45,2.18,normais,escura,S
130.43,1.87,afiados,clara,N
79.07,2.17,afiados,vermelha,S
111.90,1.90,normais,vermelha,N
139.73,2.11,normais,clara,S
92.62,2.23,afiados,escura,S
109.50,1.75,normais,clara,S
107.83,1.67,normais,vermelha,N
137.26,2.03,afiados,escura,N
92.40,2.12,normais,clara,S
152.99,1.80,normais,escura,S
93.59,1.77,normais,vermelha,N
57.68,2.26,afiados,clara,S
153.09,2.33,afiados,vermelha,N
109.68,1.90,normais,vermelha,N
84.00,2.28,normais,vermelha,S
113.99,1.53,afiados,clara,N
110.93,1.70,normais,escura,S
85.55,2.20,normais,clara,S
160.10,2.18,afiados,vermelha,N
151.20,1.69,normais,vermelha,N
128.63,1.73,afiados,clara,N
142.60,2.30,normais,clara,S
167.37,2.18,afiados,clara,N
100.97,2.39,afiados,escura,N
166.12,1.55,afiados,vermelha,N
81.73,2.21,normais,clara,S
179.75,1.84,afiados,vermelha,N
90.98,2.05,afiados,vermelha,S
129.68,2.31,afiados,clara,N
138.79,1.76,afiados,clara,N
119.08,1.59,afiados,clara,N
154.49,1.69,normais,escura,S
81.26,1.65,normais,vermelha,N
62.64,2.30,afiados,vermelha,S
172.34,2.01,normais,escura,S
129.92,1.76,normais,escura,S
125.39,1.65,afiados,clara,N
93.65,1.69,normais,escura,S
68.03,1.59,normais,escura,S
55.75,1.61,normais,escura,S
128.41,1.50,normais,vermelha,N
162.25,2.10,afiados,clara,N
62.91,1.79,normais,clara,S
121.79,1.64,normais,escura,S
60.80,1.72,afiados,vermelha,N
109.71,2.27,normais,clara,S
143.75,1.90,normais,escura,S
121.46,2.23,normais,escura,S
154.25,2.00,normais,escura,S
176.28,1.76,normais,escura,S
140.03,2.30,normais,escura,S
123.86,1.93,afiados,escura,N
61.77,1.66,afiados,escura,N
161.33,2.37,normais,vermelha,N
90.63,1.56,normais,clara,S
106.91,1.64,afiados,clara,N
140.81,1.65,normais,vermelha,N
100.79,1.77,normais,vermelha,N
105.36,2.19,normais,clara,S
88.71,2.22,normais,escura,S
122.68,2.05,afiados,clara,N
55.69,2.25,normais,escura,S
97.87,1.95,afiados,vermelha,S
56.97,2.28,afiados,vermelha,S
145.74,1.93,normais,clara,S
130.54,1.66,afiados,vermelha,N
146.55,1.85,normais,clara,S
115.77,1.98,normais,escura,S
68.73,1.90,normais,escura,S
133.57,2.32,afiados,vermelha,N
63.81,2.26,normais,vermelha,S
53.77,2.27,afiados,clara,S
135.17,1.87,afiados,escura,N
103.67,1.95,normais,clara,S
163.33,1.81,afiados,clara,N
139.83,1.51,normais,vermelha,N
104.19,2.04,normais,escura,S
92.79,1.89,afiados,clara,S
94.59,2.39,normais,clara,S
118.72,1.66,normais,escura,S
63.78,2.14,afiados,clara,S
116.74,2.40,normais,vermelha,N
84.62,2.31,afiados,clara,S
151.26,1.58,normais,escura,S
174.04,2.12,normais,escura,S
100.92,2.20,normais,vermelha,N
79.54,2.18,afiados,escura,S
90.52,1.63,afiados,vermelha,N
66.12,1.83,afiados,vermelha,S
174.96,2.08,normais,clara,S
158.81,2.27,afiados,vermelha,N
126.73,2.22,afiados,escura,N
161.60,1.63,normais,escura,S
171.62,2.20,normais,vermelha,N
173.17,1.69,afiados,vermelha,N
94.50,1.83,afiados,vermelha,S
110.40,2.13,normais,escura,N
138.97,2.19,afiados,clara,N
150.08,1.72,normais,clara,S
112.67,2.29,afiados,escura,N
120.46,1.71,normais,clara,S
123.69,2.35,normais,clara,S
77.46,1.60,afiados,vermelha,N
64.20,1.78,normais,clara,S
125.31,1.59,normais,clara,S
127.61,1.76,afiados,escura,N
97.58,2.32,afiados,escura,S
159.00,2.30,afiados,clara,N
59.09,2.30,normais,clara,S
146.22,1.65,normais,vermelha,N
129.63,2.03,normais,escura,S
128.88,2.16,normais,clara,S
55.96,1.71,afiados,clara,N
70.99,1.71,normais,escura,S
94.07,1.76,afiados,clara,N
175.92,2.32,normais,escura,S
75.21,1.51,normais,vermelha,N
120.04,2.16,normais,escura,S
99.77,1.82,afiados,clara,S
82.41,1.79,normais,vermelha,N
114.67,1.66,afiados,clara,N
117.89,2.12,normais,vermelha,S
82.45,2.11,normais,escura,S
56.65,1.56,normais,vermelha,N
158.29,1.87,normais,escura,S
107.30,1.89,afiados,clara,N
172.66,1.62,afiados,vermelha,N
57.25,2.32,afiados,escura,N
64.81,1.77,normais,escura,S
79.17,1.68,afiados,clara,N
73.97,1.85,afiados,escura,S
174.53,2.16,afiados,vermelha,N
110.32,1.68,afiados,escura,N
130.72,2.39,normais,escura,S
88.05,1.87,afiados,clara,S
100.54,1.97,normais,vermelha,N
88.12,1.65,normais,escura,S
119.27,1.92,afiados,clara,N
81.24,2.08,afiados,escura,S
114.41,1.61,normais,clara,S
129.60,1.70,normais,escura,S
174.27,1.73,afiados,vermelha,N
114.40,1.63,afiados,clara,N
100.29,2.09,afiados,clara,N
158.34,2.21,normais,vermelha,N
110.71,2.15,afiados,clara,N
114.35,2.33,normais,clara,S
176.80,1.61,afiados,escura,S
51.68,2.34,afiados,clara,S
64.50,1.70,afiados,clara,N
124.24,2.40,normais,escura,S
78.05,2.38,normais,vermelha,S
157.02,2.34,normais,escura,S
169.58,1.93,afiados,clara,N
103.06,1.97,afiados,escura,N
102.10,1.75,afiados,clara,N
137.94,1.78,afiados,escura,N
154.05,1.91,normais,clara,S
75.52,2.22,normais,escura,S
170.56,2.21,normais,vermelha,N
148.47,2.34,normais,escura,S
106.83,2.40,normais,clara,N
147.74,2.31,normais,clara,S
135.34,2.12,normais,escura,S
175.13,1.76,afiados,clara,N
167.70,2.01,normais,escura,S
164.53,2.39,afiados,escura,N
142.89,2.15,afiados,escura,N
104.65,2.16,afiados,escura,N
153.10,1.72,afiados,clara,N
136.20,1.93,normais,vermelha,N
124.92,2.01,afiados,clara,N
157.15,1.77,afiados,vermelha,N
125.41,1.78,afiados,escura,N
158.69,2.09,afiados,clara,N
174.26,1.80,normais,escura,S
170.59,1.90,afiados,escura,S
143.93,2.06,normais,vermelha,N
85.17,1.73,afiados,clara,N
76.14,1.57,afiados,vermelha,N
124.89,1.88,afiados,vermelha,N
71.43,2.01,afiados,clara,S
75.48,1.55,normais,clara,S
159.44,2.05,afiados,vermelha,N
109.79,2.16,afiados,escura,N
145.64,2.31,normais,vermelha,N
175.67,2.21,normais,vermelha,N
71.12,1.69,afiados,escura,N
99.21,2.10,afiados,clara,N
107.31,2.06,normais,escura,S
81.85,1.54,normais,vermelha,N
178.07,2.34,afiados,vermelha,N
120.85,1.89,normais,escura,S
131.65,2.20,afiados,escura,N
84.34,2.16,normais,vermelha,N
165.75,1.83,normais,vermelha,N
57.80,1.67,afiados,clara,N
70.21,1.60,afiados,escura,N
129.31,2.01,normais,escura,S
76.91,2.06,normais,vermelha,S
146.62,2.26,afiados,clara,N
102.47,2.26,afiados,vermelha,N
98.37,1.78,afiados,escura,N
65.82,1.61,afiados,vermelha,N
97.31,1.54,normais,vermelha,N
113.38,1.99,afiados,clara,N
163.65,2.23,afiados,vermelha,N
174.29,2.05,afiados,vermelha,N
127.45,1.71,normais,clara,S
59.96,1.51,normais,escura,S
166.45,1.78,afiados,escura,N
52.71,2.29,afiados,clara,S
132.83,2.22,normais,escura,S
127.49,2.32,normais,escura,N
164.23,1.74,normais,clara,S
143.13,2.07,normais,clara,S
134.16,1.65,normais,clara,S
142.91,1.51,afiados,escura,N
164.04,1.83,afiados,escura,N
100.03,1.53,afiados,escura,N
52.38,2.19,afiados,escura,N
86.20,2.28,normais,vermelha,S
150.03,2.05,normais,clara,S
88.53,2.14,normais,clara,S
141.42,2.02,normais,vermelha,N
166.75,2.09,afiados,escura,N
66.94,2.23,afiados,vermelha,S
173.58,1.63,afiados,escura,N
55.24,2.29,afiados,vermelha,S
138.13,1.93,afiados,clara,N
149.14,1.50,afiados,clara,N
100.45,2.29,normais,clara,S
147.25,2.15,normais,vermelha,N
58.11,2.25,normais,vermelha,S
142.91,2.30,normais,escura,S
135.77,1.86,afiados,vermelha,N
131.22,2.06,normais,escura,S
88.28,2.27,normais,vermelha,S
178.73,1.72,afiados,clara,N
152.84,1.81,afiados,clara,N
153.53,1.53,normais,vermelha,N
128.84,1.82,normais,escura,S
172.10,1.72,normais,escura,S
80.06,2.29,normais,escura,S
65.20,2.26,afiados,clara,S
60.99,2.11,normais,escura,S
61.21,2.18,afiados,vermelha,S
140.50,1.81,afiados,clara,N
179.77,2.07,afiados,vermelha,N
161.31,1.80,normais,clara,S
106.32,1.79,normais,escura,S
164.81,1.72,normais,clara,S
149.47,2.39,normais,clara,S
145.72,2.25,normais,escura,S
140.86,1.60,normais,escura,S
178.26,1.55,afiados,escura,N
94.15,1.67,normais,clara,S
80.67,1.81,normais,vermelha,S
115.09,1.64,normais,clara,S
114.29,1.59,normais,escura,S
140.43,1.80,afiados,escura,S
